"City_Name","Supervisorial_District","Class","Population_2010","Inc_Yr","Inc_Month","Inc_Day"
"Agoura Hills","3","General Law",23387,1982,"Dec.",8
"Alhambra","5","Charter",89501,1903,"July",11
"Arcadia","5","Charter",56719,1903,"Aug.",5
"Artesia","4","General Law",17608,1959,"May",29
"Avalon","4","General Law",3559,1913,"June",26
"Azusa","1","General Law",49207,1898,"Dec.",29
"Baldwin Park","1","General Law",81604,1956,"Jan.",25
"Bell","1","Charter",38867,1927,"Nov.",7
"Bell Gardens","1","General Law",77312,1961,"Aug.",1
"Bellflower","4","General Law",47002,1957,"Sept.",3
"Beverly Hills","3","General Law",36224,1914,"Jan.",28
"Bradbury","5","General Law",963,1957,"July",26
"Burbank","5","Charter",108469,1911,"July",15
"Calabasas","3","General Law",23788,1991,"April",5
"Carson","2","General Law",98047,1968,"Feb.",20
"Cerritos","4","Charter",54946,1956,"April",24
"Claremont","1","General Law",37608,1907,"Oct.",3
"Commerce","1","General Law",13581,1960,"Jan.",28
"Compton","2","Charter",99769,1888,"May",11
"Covina","5","General Law",49622,1901,"Aug.",14
"Cudahy","1","General Law",26029,1960,"Nov.",10
"Culver City","2","Charter",40722,1917,"Sept.",20
"Diamond Bar","4","General Law",61019,1989,"April",18
"Downey","4","Charter",113715,1956,"Dec.",17
"Duarte","5","General Law",23124,1957,"Aug.",22
"El Monte","1","General Law",126464,1912,"Nov.",18
"El Segundo","4","General Law",17049,1917,"Jan.",18
"Gardena","2","General Law",61927,1930,"Sept.",11
"Glendale","5","Charter",207902,1906,"Feb.",15
"Glendora","5","General Law",52830,1911,"Nov.",13
"Hawaiian Gardens","4","General Law",15884,1964,"April",14
"Hawthorne","2","General Law",90145,1922,"July",12
"Hermosa Beach","4","General Law",19599,1907,"Jan.",10
"Hidden Hills","3","General Law",2025,1961,"Oct.",19
"Huntington Park","1","General Law",64219,1906,"Sept.",1
"Industry","1","Charter",803,1957,"June",18
"Inglewood","2","Charter",119053,1908,"Feb.",14
"Irwindale","1","Charter",1717,1957,"Aug.",6
"La Cañada-Flintridge","5","General Law",21261,1976,"Dec.",8
"La Habra Heights","4","General Law",6161,1978,"Dec.",4
"La Mirada","4","General Law",50015,1960,"March",23
"La Puente","1","General Law",43355,1956,"Aug.",1
"La Verne","5","General Law",34051,1906,"Sept.",11
"Lakewood","4","General Law",83636,1954,"April",16
"Lancaster","5","Charter",145875,1977,"Nov.",22
"Lawndale","2","General Law",33641,1959,"Dec.",28
"Lomita","4","General Law",21015,1964,"June",30
"Long Beach","4","Charter",494709,1897,"Dec.",13
"Los Angeles","2,4","Charter",4094764,1850,"April",4
"Lynwood","2","General Law",73295,1921,"July",16
"Malibu","3","General Law",13765,1991,"March",28
"Manhattan Beach","4","General Law",36773,1912,"Dec.",7
"Maywood","1","General Law",30034,1924,"Sept.",2
"Monrovia","5","General Law",39984,1887,"Dec.",15
"Montebello","1","General Law",65781,1920,"Oct.",15
"Monterey Park","1","General Law",65027,1916,"May",29
"Norwalk","4","General Law",109817,1957,"Aug.",26
"Palmdale","5","Charter",152622,1962,"Aug.",24
"Palos Verdes Estates","4","General Law",14085,1939,"Dec.",20
"Paramount","4","General Law",57989,1957,"Jan.",30
"Pasadena","5","Charter",151576,1886,"June",19
"Pico Rivera","1","General Law",66967,1958,"Jan.",29
"Pomona","1","Charter",163683,1888,"Jan.",6
"Rancho Palos Verdes","4","General Law",42893,1973,"Sept.",7
"Redondo Beach","4","Charter",68105,1892,"April",29
"Rolling Hills","4","General Law",1974,1957,"Jan.",24
"Rolling Hills Estates","4","General Law",8157,1957,"Sept.",18
"Rosemead","1","General Law",57756,1959,"Aug.",4
"San Dimas","5","General Law",36946,1960,"Aug.",4
"San Fernando","3","General Law",25366,1911,"Aug.",31
"San Gabriel","5","General Law",42984,1913,"April",24
"San Marino","5","General Law",13415,1913,"April",25
"Santa Clarita","5","General Law",177641,1987,"Dec.",15
"Santa Fe Springs","4","General Law",17929,1957,"May",15
"Santa Monica","3","Charter",92703,1886,"Dec.",9
"Sierra Madre","5","General Law",11099,1907,"Feb.",7
"Signal Hill","4","Charter",11465,1924,"April",22
"South El Monte","1","General Law",22627,1958,"July",30
"South Gate","1","General Law",101914,1923,"Jan.",15
"South Pasadena","5","General Law",25881,1888,"Feb.",29
"Temple City","5","Charter",35892,1960,"May",25
"Torrance","4","Charter",149717,1921,"May",12
"Vernon","1","Charter",96,1905,"Sept.",22
"Walnut","1","General Law",32659,1959,"Jan.",19
"West Covina","1","General Law",112890,1923,"Feb.",17
"West Hollywood","3","General Law",37805,1984,"Nov.",29
"Westlake Village","3","General Law",8872,1981,"Dec.",11
"Whittier","4","Charter",87128,1898,"Feb.",28
